X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.2087384501555,40.0023014428298,1,Woodside Park,5_12_YEARS,2010/01/01 00:00:00+00, ,Nearmap 2023
-74.9895550933615,40.0806194788441,2,Elizabeth M Picariello Playground,5_12_YEARS,2010/01/01 00:00:00+00, ,Nearmap 2023
-75.1583078371559,39.9409963919366,3,Walter Palumbo Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1511754556014,39.9755215542417,4,Marie Dendy Recreation Center,5_12_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.243289765298,39.9661695988839,5,Horton Street Play Lot,UNKNOWN,, ,Nearmap 2023
-75.1557102925201,40.0007720500028,6,Heritage Park Playground,5_12_YEARS,, ,Nearmap 2023
-75.1753815862834,39.9873320523132,7,Eric W (Hank) Gathers Jr Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.2313349760209,39.977233235333,8,Charles A Baker Playground,5_12_YEARS,, ,Nearmap 2023
-75.0825160246311,40.0744135162112,9,Fox Chase Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1887645227347,39.9311157740415,10,George A Vare Recreation Center,5_12_YEARS,2022/12/01 00:00:00+00,Rebuild Fall 2022,Nearmap 2023
-75.0212534284592,40.0915737573265,11,Officer Robert Hayes Memorial Playground,5_12_YEARS,2020/01/01 00:00:00+00,Installed between 2019 and 2020.,Nearmap 2023
-74.9701206054304,40.1028472517099,12,Jim Junod Recreation Center,5_12_YEARS,2012/01/01 00:00:00+00, ,Nearmap 2023
-75.1175943375546,40.0429106380128,13,Olney Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.236444090584,39.9710385243882,14,Carroll Park,UNKNOWN,2018/05/01 00:00:00+00, ,Nearmap 2023
-75.2107167901287,40.017798076431,15,Sabatino La Noce Park,2_5_YEARS,, ,Nearmap 2023
-75.1072552131611,39.9822786306025,16,Thomas P Stokley Recreation Center,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.0529896725632,40.0394475884287,17,Mayfair Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.1603039390569,39.9818937441077,18,Fletcher B Amos Playground,5_12_YEARS,2013/01/01 00:00:00+00, ,Nearmap 2023
-75.1823492085481,40.0569539126466,19,Pleasant Playground,5_12_YEARS,, ,Nearmap 2023
-75.1660112088704,40.0018897454124,20,Vincent G Panati Playground,5_12_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.0265213643425,40.0362341375632,21,Holmesburg Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.0673924281359,39.9996846742421,22,Bridesburg Recreation Center,5_12_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.1505669648274,39.9380930093534,23,Weccacoe Square,5_12_YEARS,, ,Nearmap 2023
-75.1457565423431,39.9739514744782,24,Narcissa S Cruz Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.0705417957539,40.0389528451494,25,Max Myers Playground,5_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.2372128685939,39.905777141722,26,Suffolk Park,5_12_YEARS,, ,Nearmap 2023
-75.2227718756362,39.9482425023871,27,Cedar Park,UNKNOWN,, ,Nearmap 2023
