X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1507806812682,39.9973438709996,1,2900 Block of N CAMAC ST,19133,2017,,2017 Playstreets Program
-75.1736596708814,40.0003470673651,2,2900 Block of N BAILEY ST,19132,2017,,2017 Playstreets Program
-75.1459563156453,39.9857825839355,3,2200 Block of N FRANKLIN ST,19133,2017,,2017 Playstreets Program
-75.1414497041691,39.9819828152554,4,2000 Block of N LAWRENCE ST,19122,2017,,2017 Playstreets Program
-75.1598539318958,39.9875792946537,5,2200 Block of N BANCROFT ST,19132,2017,,2017 Playstreets Program
-75.1471553323584,39.9909133798254,6,2500 Block of N HUTCHINSON ST,19133,2017,,2017 Playstreets Program
-75.1441025224462,39.9996515171723,7,3100 Block of N DARIEN ST,19133,2017,,2017 Playstreets Program
-75.1793705400978,39.9884780715399,8,2100 Block of N NEWKIRK ST,19121,2017,,2017 Playstreets Program
-75.1809753258554,39.9809481114136,9,1600 Block of N NEWKIRK ST,19121,2017,,2017 Playstreets Program
-75.18015428073,39.99485352327,10,2500 Block of N MYRTLEWOOD ST,19132,2017,,2017 Playstreets Program
-75.146212788176,39.9764594677768,11,1600 Block of N MARSHALL ST,19122,2017,,2017 Playstreets Program
-75.1435381458327,40.0074448829336,12,3600 Block of N PERCY ST,19140,2017,,2017 Playstreets Program
-75.152273142658,39.9963367840221,13,1300 Block of W WILLIAM ST,19132,2017,,2017 Playstreets Program
-75.1545939727309,40.0275930012131,14,1800 Block of W ELEANOR ST,19141,2017,,2017 Playstreets Program
-75.1486301229959,40.0081015067334,15,3600 Block of N CAMAC ST,19140,2017,,2017 Playstreets Program
-75.1572658625797,40.0195129288301,16,1900 Block of ROWAN ST,19140,2017,,2017 Playstreets Program
-75.1662491037759,39.9978490745991,17,2800 Block of N VAN PELT ST,19132,2017,,2017 Playstreets Program
-75.1760616369345,39.9975793689435,18,2700 Block of W SILVER ST,19132,2017,,2017 Playstreets Program
-75.1518621268712,39.9923841795352,19,1200 Block of W HAROLD ST,19133,2017,,2017 Playstreets Program
-75.1717553987747,40.0016394604755,20,3000 Block of N STILLMAN ST,19132,2017,,2017 Playstreets Program
-75.1655278212742,39.977496184175,21,1500 Block of N GRATZ ST,19121,2017,,2017 Playstreets Program
-75.163950158942,39.9772964053039,22,1500 Block of N BOUVIER ST,19121,2017,,2017 Playstreets Program
-75.1320913308972,39.9949095446121,23,2900 Block of MASCHER ST,19133,2017,,2017 Playstreets Program
-75.1825201753383,39.9967380038545,24,2600 Block of N NAPA ST,19132,2017,,2017 Playstreets Program
-75.1578702017645,40.0125204980156,25,3800 Block of N GRATZ ST,19140,2017,,2017 Playstreets Program
-75.1309414794647,39.9932967529826,26,2800 Block of HOPE ST,19133,2017,,2017 Playstreets Program
-75.1848478627444,39.9785554568152,27,1400 Block of N CORLIES ST,19121,2017,,2017 Playstreets Program
-75.1329666306695,39.9977382149173,28,3100 Block of PALETHORP ST,19133,2017,,2017 Playstreets Program
-75.1506087272137,40.0225176547939,29,4500 Block of N HICKS ST,19140,2017,,2017 Playstreets Program
-75.1386260694267,40.019434095056,30,4400 Block of N FRANKLIN ST,19140,2017,,2017 Playstreets Program
-75.1780250579753,39.9945666512763,31,2500 Block of N NEWKIRK ST,19132,2017,,2017 Playstreets Program
-75.1618860511407,39.9878406024065,32,2200 Block of N BOUVIER ST,19132,2017,,2017 Playstreets Program
-75.1682544444354,39.9886614715865,33,2200 Block of N VAN PELT ST,19132,2017,,2017 Playstreets Program
-75.1773320627471,39.9977039483475,34,2700 Block of N NEWKIRK ST,19132,2017,,2017 Playstreets Program
-75.1767700968535,39.9944160433037,35,2500 Block of N MARSTON ST,19132,2017,,2017 Playstreets Program
-75.1430176344548,39.9854041347654,36,2200 Block of N FAIRHILL ST,19133,2017,,2017 Playstreets Program
-75.1322550306883,39.9918846161293,37,2700 Block of WATERLOO ST,19133,2017,,2017 Playstreets Program
-75.1099100782317,39.9940573308691,38,2000 Block of E MADISON ST,19134,2017,,2017 Playstreets Program
-75.125866460026,40.0020448008445,39,3400 Block of ELLA ST,19134,2017,,2017 Playstreets Program
-75.1154720141073,40.0198388064009,40,500 Block of E LURAY ST,19120,2017,,2017 Playstreets Program
-75.120668512832,39.9980328460457,41,500 Block of E HILTON ST,19134,2017,,2017 Playstreets Program
-75.1402929202478,40.0117882489038,42,3900 Block of N FRANKLIN ST,19140,2017,,2017 Playstreets Program
-75.1391506047585,40.0100962768991,43,3800 Block of N MARSHALL ST,19140,2017,,2017 Playstreets Program
-75.1389493433024,40.017941959276,44,4300 Block of N FRANKLIN ST,19140,2017,,2017 Playstreets Program
-75.1366740492381,40.0144278251233,45,4100 Block of N FAIRHILL ST,19140,2017,,2017 Playstreets Program
-75.1275486448472,40.0007287241201,46,3300 Block of N WATER ST,19134,2017,,2017 Playstreets Program
-75.182168211622,39.9857131041401,47,1900 Block of N MYRTLEWOOD ST,19121,2017,,2017 Playstreets Program
-75.1410977924823,40.0134293399217,48,4000 Block of N DARIEN ST,19140,2017,,2017 Playstreets Program
-75.1448302235148,39.9963376606194,49,800 Block of W BIRCH ST,19133,2017,,2017 Playstreets Program
-75.2239544349055,39.9689714913486,50,500 Block of N PAXON ST,19131,2017,,2017 Playstreets Program
-75.2308334214229,39.9530933433989,51,5400 Block of ADDISON ST,19143,2017,,2017 Playstreets Program
-75.2336254455412,39.9787927785005,52,5500 Block of JEFFERSON ST,19131,2017,,2017 Playstreets Program
-75.2196769780307,39.9681682783749,53,4900 Block of HOOPES ST,19139,2017,,2017 Playstreets Program
-75.2373219842301,39.9654987749616,54,200 Block of N HOBART ST,19139,2017,,2017 Playstreets Program
-75.2270036721782,39.9626620180342,55,100 Block of N PEACH ST,19139,2017,,2017 Playstreets Program
-75.2256605047198,39.9427587242912,56,1100 Block of S RUBY ST,19143,2017,,2017 Playstreets Program
-75.1762048992078,39.9296187452166,57,1700 Block of DORRANCE ST,19145,2017,,2017 Playstreets Program
-75.2227810436335,39.9385197317423,58,5400 Block of REGENT ST,19143,2017,,2017 Playstreets Program
-75.2343361486844,39.9265598444215,59,2100 Block of S SIMPSON ST,19142,2017,,2017 Playstreets Program
-75.224006848385,39.9593215401624,60,5100 Block of LUDLOW ST,19139,2017,,2017 Playstreets Program
-75.2371412231622,39.9566096032588,61,200 Block of S CECIL ST,19139,2017,,2017 Playstreets Program
-75.2431921969848,39.9630795611971,62,0 Block of N DEWEY ST,19139,2017,0-99 Street Range,2017 Playstreets Program
-75.2192045734259,39.9644314743513,63,4900 Block of OLIVE ST,19139,2017,,2017 Playstreets Program
-75.2325945915611,39.9572064496774,64,5500 Block of CHANCELLOR ST,19139,2017,,2017 Playstreets Program
-75.170492594428,39.9313932151783,65,1500 Block of S HICKS ST,19146,2017,,2017 Playstreets Program
-75.2277362364117,39.9511549947288,66,5200 Block of RODMAN ST,19143,2017,,2017 Playstreets Program
-75.2256826564674,39.9346991590204,67,2000 Block of S ALDEN ST,19143,2017,,2017 Playstreets Program
-75.2253603151733,39.9389075476412,68,1400 Block of S VOGDES ST,19143,2017,,2017 Playstreets Program
-75.2343591928485,39.9433606525075,69,5600 Block of ELLIOTT ST,19143,2017,,2017 Playstreets Program
-75.2326516108311,39.9322086915624,70,6000 Block of REGENT ST,19142,2017,,2017 Playstreets Program
-75.2293489896185,39.96261729606,71,100 Block of N CONESTOGA ST,19139,2017,,2017 Playstreets Program
-75.2160629039224,39.9349804771535,72,5300 Block of GLENMORE AVE,19143,2017,,2017 Playstreets Program
-75.2348845105983,39.9448339344928,73,1000 Block of S ITHAN ST,19143,2017,,2017 Playstreets Program
-75.2227636875641,39.9427338130201,74,1100 Block of S WILTON ST,19143,2017,,2017 Playstreets Program
