objectid,park_name,site_number,table_count,permittable,comments,data_source,lat,lng
33,Wissahickon Valley Park,2,4,Y,Wissahickon Valley Park-Northwestern Stables,Nearmap 2023,40.08432886867368,-75.22931437195915
34,Wissahickon Valley Park,3,4,Y,Wissahickon Valley Park-Northwestern Stables,Nearmap 2023,40.08415883535595,-75.22974279478613
35,Wissahickon Valley Park,1,3,Y,Wissahickon Valley Park-Northwestern Stables,Nearmap 2023,40.08479947488104,-75.22985987242285
36,Wissahickon Valley Park,0,4,Y,Wigard Avenue House,Nearmap 2023,40.053618917587826,-75.22503270264143
37,Wisters Woods Park,1,3,Y, ,Nearmap 2023,40.03181079423645,-75.1547728551995
38,Wisters Woods Park,2,3,Y, ,Nearmap 2023,40.032412198414974,-75.15539755364607
39,Wisters Woods Park,3,2,Y, ,Nearmap 2023,40.0333678629584,-75.15548273859652
40,Awbury Park and Recreation Center,2,2,Y, ,Nearmap 2023,40.052273579371544,-75.16355586368645
41,Awbury Park and Recreation Center,3,2,Y, ,Nearmap 2023,40.05230547308364,-75.1632760768893
42,Awbury Park and Recreation Center,1,3,Y, ,Nearmap 2023,40.05195066709723,-75.16317105147027
43,Fisher Park,1,5,Y,Non-fixed tables,Nearmap 2023,40.04303997508602,-75.13087768849634
44,Fisher Park,2,3,Y, ,Nearmap 2023,40.04293545238396,-75.13109083060577
45,Burholme Park,2,4,Y,Non-fixed tables,Nearmap 2023,40.06918721559774,-75.08927609238786
46,Burholme Park,3,3,Y,,Nearmap 2023,40.06947091151838,-75.08969439958518
47,Burholme Park,1,10,Y, ,GIS Review 2023,40.067057188474784,-75.089218232259
48,Burholme Park,4,3,Y,Non-fixed tables,Nearmap 2023,40.06970296969792,-75.09126915993053
49,Burholme Park,5,3,Y,Non-fixed tables,Nearmap 2023,40.06994807740324,-75.09186542356686
50,Hunting Park,6,5,Y,Numbered site both sides of walkway,Nearmap 2023,40.01699415377401,-75.14353890747485
51,Hunting Park,0,3,Y,Near the baseball field,Nearmap 2023,40.01711450586271,-75.14331243179754
52,Hunting Park,2,3,Y, ,Nearmap 2023,40.0169390781613,-75.1450887924268
53,Hunting Park,3,2,Y, ,Nearmap 2023,40.017294609763965,-75.14578182034188
54,Hunting Park,1,5,Y,Hunting Park Picnic Pavilion,Nearmap 2023,40.015620422734564,-75.1445757954438
55,Hunting Park,4,2,Y, ,Nearmap 2023,40.01584366282817,-75.14288158894936
56,West Fairmount Park,1,2,Y,Next to Kelly Pool,Nearmap 2023,39.97915676061185,-75.20719967174932
57,West Fairmount Park,0,1,N,Next to Cedar Grove,Nearmap 2023,39.97892371311944,-75.20456535819245
58,Cobbs Creek Park,1,3,Y,Close to Blue Bell Tavern,Nearmap 2023,39.91749080027702,-75.2461454624268
